League_ID;Name;Rosters;QB;RB;WR;TE;Flex;SFlex;BN;Total_Players;Start_Players;Taxi_Slots;Rec_Bonus;Rec_RB;Rec_WR;Rec_TE;Pass_TD;Pass_Int;Old_League_ID
785633512467447808;"Fantasy Junky Dynasty";12;1;2;2;1;3;1;12;22;10;4;4.0;1.0;0.0;0.0;0.0;-1.0;667082697000161280
785621076515405824;"Revenge Game";12;1;2;3;1;2;1;11;21;10;4;6.0;1.0;0.5;0.0;0.0;-1.0;667150786656014336
785617481686548480;"Dirty Dozen League";12;1;3;3;1;3;1;17;29;12;6;6.0;1.0;1.0;0.0;0.0;-3.0;674978361214341120
785612331962036224;"O.J.'s Hit List ";12;1;2;4;1;3;1;12;24;12;8;6.0;1.0;1.0;0.0;0.0;-2.5;675916685076692992
785611237101912064;"Darnold's Ghosts";12;1;2;4;1;2;1;15;26;11;6;4.0;1.0;1.0;0.0;0.0;-2.5;676590928961560576
785604332396654592;"The Sarlacc Pit";12;1;2;3;1;3;1;12;23;11;6;4.0;1.0;1.0;0.3;0.0;-2.0;685276459027197952
785602127736229888;"The Thunder Dome";12;1;2;3;1;3;1;12;23;11;5;6.0;1.0;1.0;0.3;0.0;-2.0;688068609100034048
785600221953572864;"League Of Extraordinary Addicts";12;1;2;3;1;2;1;11;21;10;5;6.0;1.0;1.0;0.3;0.0;-2.0;693561433878773760
785597075512565760;Shadynasty;12;1;2;3;1;3;1;11;22;11;5;6.0;1.0;0.5;0.3;0.0;-2.0;715940948349132800
785595876621029376;"Dan Campbell's Cannibals";12;1;2;3;1;3;1;10;21;11;5;6.0;1.0;0.5;0.0;0.5;-2.0;717127332749475840
785592723473371136;"Superflex Saiyans";12;1;2;3;1;3;1;12;23;11;5;4.0;1.0;1.0;0.0;0.5;-2.0;726885158954835968
785590834362990592;"10$ QB Premium/Tiered PPR";12;1;2;3;1;3;1;12;23;11;4;6.0;1.0;1.0;0.0;0.5;-1.0;729375656181391360
785587073125113856;"Latenite Hotbox Sesh";12;1;2;3;1;3;1;11;22;11;5;7.0;1.0;1.0;0.5;0.0;-2.0;727430206897324032
785584118737035264;"Cheap Peeps & Company";12;1;2;3;1;3;1;15;26;11;5;6.0;1.0;0.5;0.3;0.0;-2.0;688477975603130368
785539841407442944;"Corona league";12;1;2;2;1;2;1;17;26;9;5;6.0;1.0;1.0;0.0;0.0;-2.0;657443621116686336
785461391128723456;"$20 Superflex Dynasty League ";12;1;2;2;1;2;1;15;24;9;3;4.0;1.0;0.0;0.0;0.0;-1.0;651240362463031296
785414158450573312;"League of Ordinary Owners";12;1;2;2;1;3;1;13;23;10;3;4.0;0.5;0.5;0.0;0.0;-1.0;649727554256744448
785299019839692800;"Start’em all";12;1;3;3;1;4;1;16;29;13;5;6.0;1.0;0.8;0.0;0.0;-2.0;667904042575409152
785270282352001024;"In Honor Of Akers";12;1;2;2;1;3;1;15;25;10;4;6.0;1.0;0.8;0.0;0.0;-2.0;723260434920067072
785270244733214720;"League Of The Legends";12;1;2;2;1;3;1;15;25;10;4;4.0;0.5;0.5;0.0;0.0;-2.0;721596352613654528
785270186285670400;"Dynasty Bums 10$";12;1;2;2;1;3;1;15;25;10;4;4.0;0.8;0.8;0.3;0.0;-1.0;716058270908907520
785264239756562432;"Kitchen Sink $5";12;1;1;1;1;5;1;15;25;10;3;6.0;1.0;0.5;0.0;0.0;-1.0;705591296550563840
785263332163764224;"Guardians of the Galaxy";12;1;2;3;1;3;1;12;23;11;3;6.0;1.0;0.5;0.0;0.0;-1.0;725452803102851072
785187534174007296;"Dream League";12;1;2;2;1;3;1;12;22;10;4;4.0;1.0;0.0;0.0;0.0;-1.0;692222480521183232
785171764455030784;"A - Exclusive Club - $10 C";12;1;2;3;2;3;1;18;30;12;4;6.0;1.0;0.5;0.0;0.0;-1.0;650249523976822784
785042549701206016;"Barbarian League";12;1;2;3;1;2;1;14;24;10;4;6.0;1.0;0.5;0.0;0.0;-2.0;684579100630806528
784985505187127296;"10$ SF HOLLA";12;1;2;3;1;2;1;10;20;10;5;4.0;1.0;1.0;0.0;0.5;-1.0;706214028132851712
784963780193968128;"Dynasty Pro Bowl";12;1;2;2;1;3;1;20;30;10;5;4.0;1.0;0.5;0.0;0.0;-1.0;650115012639174656
784901615311269888;"Devy Gamers";12;1;2;3;1;3;1;28;39;11;0;6.0;1.0;0.5;0.0;0.0;-4.0;717739322308132864
784788622032420864;"Dynasty Junkies ";12;1;2;3;1;3;1;15;26;11;5;4.0;1.0;1.0;0.2;0.0;-1.0;721794475650785280
784684873532235776;"NA Newbies Dynasty ";12;1;2;3;1;2;1;15;25;10;5;4.0;1.0;0.5;0.0;0.0;-1.0;650824642562482176
784661999572418560;"One More For Da Boyz";12;1;2;2;1;3;1;11;21;10;5;6.0;1.0;0.5;0.0;0.0;-1.0;650038391940939776
784652154131619840;"poor people league ";12;1;2;3;1;3;1;14;25;11;5;4.0;1.0;0.0;0.0;0.0;-2.0;655582480874684416
784623186187780096;"RB Are King ";12;1;2;3;2;4;1;10;23;13;3;6.0;1.0;1.0;0.5;0.0;-1.0;733147541226524672
784610196784807936;"Dynasty Studs";12;1;2;2;1;3;1;16;26;10;4;4.0;0.5;0.5;0.0;0.0;-2.0;667466300632682496
784607758942089216;"Sean Mack’s Circus";12;1;2;3;1;3;1;14;25;11;5;6.0;1.0;0.5;0.0;0.0;-1.0;730586968672600064
784603290615869440;"Devy $5 bragging rights ";12;1;2;3;1;3;1;22;33;11;6;4.0;0.5;0.0;0.0;0.0;-1.0;650036555603341312
784595356905226240;"Its Not An Addiction $10";12;1;2;2;1;3;1;18;28;10;10;6.0;1.0;0.0;0.0;0.0;-1.0;680595121787441152
784591140748926976;"🎱Dynasty Lowballers🎱";12;1;2;3;1;2;1;15;25;10;5;6.0;1.0;0.5;0.0;0.0;-1.0;650151488047370240
784589644036767744;"Pimpin Ain’t Breesy";12;1;2;2;2;2;1;16;26;10;6;4.0;0.0;1.5;0.5;1.0;-1.0;650042082030866432
784585030994341888;"Early Bird ";12;1;2;2;0;5;1;15;26;11;6;6.0;1.0;1.5;0.0;0.0;-1.0;664540936751108096
784576680575508480;"The Office  - $5 Dynasty BB League";12;1;2;2;1;3;1;16;26;10;3;4.0;1.0;0.5;0.0;0.0;-1.0;728109955940495360
784550683377532928;"12 Team SF Devy";12;1;2;2;1;3;1;14;24;10;6;6.0;0.5;0.5;0.0;0.0;-3.0;650551940425572352
784548638004219904;"Quick Fix";12;1;2;2;1;4;1;15;26;11;4;6.0;1.0;0.0;0.0;0.0;-1.0;650035599276851200
784544152879779840;"Dynasty SF 5 Flex League";12;1;1;1;1;5;1;15;25;10;4;6.0;1.0;0.8;0.0;0.0;-2.0;717473410132803584
784538522450276352;"The Best Cheap Dynasty SF 1RB";12;1;1;2;1;4;1;15;25;10;5;6.0;1.0;1.0;0.0;0.0;-1.0;713622860119252992
784526797164380160;"Dolla Dolla Bills Yall";12;1;2;2;1;2;1;14;23;9;4;6.0;2.0;0.0;0.0;0.0;-1.0;721749103175864320
784508280159461376;"Quick Fix II Dynasty";12;1;2;3;1;2;1;15;25;10;5;6.0;1.0;0.5;0.0;0.0;-1.0;650077049549053952
